City,Cloudiness,Country,Humidity,Lat,Lng,MaxTemp,WindSpeed
poum,46,NC,73,-20.23,164.02,68.83,21.27
gongzhuling,47,CN,75,43.5,124.81,70.74,4.61
porto velho,20,BR,83,-8.75,-63.87,77.0,1.12
arlit,50,NE,44,18.74,7.39,88.69,4.94
leh,0,IN,43,34.16,77.58,46.8,1.12
port keats,0,AU,21,-14.25,129.55,86.83,8.37
meulaboh,100,ID,81,4.14,96.13,78.77,12.41
lompoc,1,US,82,34.64,-120.46,69.8,6.93
buy,78,RU,92,58.48,41.53,50.71,6.55
juneau,90,US,93,58.3,-134.42,53.6,3.67
vendome,0,FR,82,47.44,-0.57,62.01,2.24
comodoro rivadavia,0,AR,58,-45.87,-67.48,55.4,5.82
bumba,100,CD,96,2.18,22.47,70.47,2.04
rindge,1,US,77,42.75,-72.01,64.4,4.7
clyde,2,NZ,41,-45.19,169.32,54.0,3.0
gorontalo,2,ID,63,0.54,123.06,85.14,13.85
helensburgh,90,GB,77,56.01,-4.73,61.0,3.36
shu,0,KZ,35,43.6,73.76,71.07,5.75
halifax,75,CA,63,44.65,-63.58,69.01,9.17
jati,76,ID,45,3.58,98.66,88.0,1.72
galesong,20,ID,55,-5.32,119.37,89.6,4.7
toora-khem,96,RU,80,52.47,96.11,51.09,2.75
monrovia,95,LR,88,6.33,-10.8,75.98,7.43
goianapolis,0,BR,40,-16.51,-49.02,73.4,6.93
seoul,20,KR,69,37.57,126.98,78.8,1.12
uray,100,RU,77,60.13,64.8,57.01,15.43
barentu,94,ER,94,15.11,37.59,67.99,13.06
verkhoyansk,98,RU,42,67.55,133.39,69.95,6.96
esso,100,RU,72,55.93,158.7,58.05,5.3
pekan,75,MY,83,3.49,103.39,82.4,2.21
laguna de perlas,58,NI,93,12.34,-83.67,75.15,2.66
prado,23,BR,88,-17.34,-39.22,65.83,5.73
sao felix do xingu,59,BR,88,-6.64,-51.99,70.69,1.41
campina grande,40,BR,88,-7.22,-35.88,69.8,8.05
hokitika,13,NZ,67,-42.72,170.96,52.27,16.31
lowestoft,0,GB,100,52.48,1.75,61.0,4.92
bagdarin,0,RU,52,54.44,113.59,65.49,5.48
launceston,90,AU,66,-41.43,147.14,57.0,23.04
kloulklubed,90,PW,94,7.04,134.26,75.2,6.93
lucapon,100,PH,79,15.7,119.93,82.8,14.92
camopi,11,GF,99,3.17,-52.33,70.8,2.21
zauralskiy,0,RU,77,54.79,61.24,59.0,8.95
neiafu,20,TO,78,-18.65,-173.98,82.4,9.17
poronaysk,100,RU,97,49.22,143.1,48.69,5.23
miraflores,68,CO,97,5.2,-73.14,50.04,2.39
mogadishu,72,SO,86,2.04,45.34,75.62,12.55
brewster,1,US,88,41.76,-70.08,69.01,3.36
lieksa,100,FI,98,63.32,30.02,52.2,4.76
port-gentil,100,GA,86,-0.72,8.78,75.94,16.4
barraute,75,CA,82,48.43,-77.63,55.4,6.93
zaragoza,0,ES,68,41.65,-0.88,69.8,4.7
manta,20,EC,83,-0.95,-80.73,73.4,6.93
margate,0,ZA,66,-30.86,30.37,54.79,4.74
burnie,87,AU,59,-41.05,145.91,57.99,1.99
cockburn town,0,TC,81,21.46,-71.14,83.56,24.76
bud,100,NO,100,62.91,6.91,55.4,3.36
ust-tsilma,100,RU,97,65.44,52.15,50.69,4.47
havre-saint-pierre,90,CA,71,50.23,-63.6,55.4,16.11
ranot,100,TH,55,7.78,100.32,88.29,13.31
port hueneme,20,US,93,34.15,-119.2,75.0,4.7
taft,0,IR,17,31.75,54.22,73.4,4.7
palmer,1,US,45,61.6,-149.11,68.0,5.82
kourou,0,GF,94,5.16,-52.64,75.2,1.45
verkhniy uslon,0,RU,87,55.77,48.98,53.6,4.47
evensk,100,RU,88,61.92,159.24,53.8,10.11
inirida,0,CO,90,3.87,-67.92,71.1,1.39
chapada dos guimaraes,0,BR,48,-15.46,-55.75,82.4,9.17
lixourion,0,GR,65,38.2,20.43,78.8,6.53
aleksandrov gay,16,RU,75,50.14,48.57,69.73,15.61
namatanai,100,PG,84,-3.66,152.44,79.17,15.61
batagay,99,RU,42,67.65,134.64,71.48,7.38
cabedelo,20,BR,94,-6.97,-34.84,71.6,9.17
minot,1,US,83,48.23,-101.3,72.0,9.17
